Anime Name,Song Type,Song Name,Song Artist,Mp3 Link,Webm Link
A Silent Voice,ED1,Koi wo Shita no wa,aiko,8dzbcz.mp3,m1hyhv.webm
A Sister's All You Need.,OP1,Ashita no Kimi Sae Ireba Ii.,ChouCho,7sbyy2.mp3,21zpel.webm
A Sister's All You Need.,ED1,"Donna Hoshizora yori mo, Donna Omoide yori mo (Piano Version)",Aira Yuuki,x5eek5.mp3,y2yrea.webm
A Sister's All You Need.,ED2,"Donna Hoshizora yori mo, Donna Omoide yori mo",Aira Yuuki,5t6hz6.mp3,qmkzog.webm
A Sister's All You Need.,ED3,Dairokkan no Mistress,Manami Numakura,eh0uqc.mp3,ltv3s2.webm
A Sister's All You Need.,ED4,Innocent Lovely,Akane Fujita,fqx70s.mp3,a9gxnq.webm
A Spirit of The Sun,ED1,The Power,Kanon,ov7gfr.mp3,ln2kjh.webm
A Town Where You Live,OP1,Sentimental Love,MimimemeMIMI,x7xlat.mp3,8k4r4e.webm
A Town Where You Live,ED1,Kimi no Iru Machi,Yoshimasa Hosoya,gclpgj.mp3,jmabmh.webm
A Town Where You Live,ED2,Dear Friend,Daisuke Ono,xqh4bd.mp3,omjivc.webm
A Town Where You Live,ED3,Kimi no Iru Machi ~Answer Songs ver.~,Yoshimasa Hosoya,hc4rdu.mp3,tsmwv6.webm
A Town Where You Live,IN,Am I Ready?,MimimemeMIMI,mx6bjt.mp3,m0xxse.webm
A Town Where You Live,IN,Another Letter,Megumi Nakajima,3g5fj2.mp3,qh6kgk.webm
A Town Where You Live,IN,Mr.Darling,MimimemeMIMI,afti6o.mp3,3li25r.webm
A Town Where You Live,IN,Senkō Hanabi,"Megumi Nakajima, Ayane Sakura, Yuki Takao",fygxxm.mp3,ygj47p.webm
A Tree of Palme,ED1,Sora no Aosa,Akino Arai,83reao.mp3,prvijc.webm
A Tree of Palme,IN,Cyan no Uta,Akino Arai,i7tvsl.mp3,uoak3m.webm
A Tree of Palme,IN,Java d'Alma,Takashi Harada,e6aq7p.mp3,a0c5ca.webm
A Wind Named Amnesia,ED1,TRUE LOVE,AKEMI & TAKASHI TSUSHIMI,ratsjt.mp3,nuj5iy.webm
A Wind Named Amnesia,IN,TRUE LOVE (Eigo Version),TAKASHI TSUSHIMI,hj0mh9.mp3,l7td2w.webm
A-Channel,OP1,Morning Arch,Marina Kawano,d6n4b9.mp3,mv2bsd.webm
A-Channel,ED1,Humming Girl,Kaori Fukuhara・Aoi Yūki・Yumi Uchiyama・Minako Kotobuki,3o19dr.mp3,fi408i.webm
A-Channel,ED2,Harukaze no Kagaku,Kaori Fukuhara・Aoi Yūki・Yumi Uchiyama・Minako Kotobuki,ftjokv.mp3,scpuse.webm
A-Channel,IN,Gyutto Shite Hoshiinda,Aoi Yūki,d8jrka.mp3,55t61t.webm
A-Channel,IN,Happy Snow,Kaori Fukuhara・Aoi Yūki・Yumi Uchiyama・Minako Kotobuki,musih1.mp3,usqr9a.webm
A-Channel,IN,Harukaze no Kagaku,Kaori Fukuhara・Aoi Yūki・Yumi Uchiyama・Minako Kotobuki,8yvref.mp3,e0dbe8.webm
A-Channel,IN,Kimi no Te,Daisuke Ono,2gn7ag.mp3,s3jq2j.webm
A-Channel,IN,Kitto Zutto Motto,Aoi Yūki,lladve.mp3,ak55n8.webm
A-Channel,IN,Koi Hitoyo Yume Hitoyo,Yumi Uchiyama,ff29no.mp3,foaimg.webm
